pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
K2-199 c,K2-199,1,1,2,Transit,2018,K2,Published Confirmed,0,<a refstr=AKANA_MURPHY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..294A/abstract target=ref>Akana Murphy et al. 2021</a>,7.3744897,3.7e-06,-3.7e-06,0.0,0.0662,0.0007,-0.0007,0.0,2.85,0.1,-0.09,0.0,0.254,0.009,-0.008,0.0,12.4,2.3,-2.3,0.0,0.03901,0.00724,-0.00724,0.0,Mass,0.03,0.06,-0.03,0.0,38.6,4.0,-4.0,0.0,694.0,17.0,-17.0,0.0,0.0,<a refstr=AKANA_MURPHY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..294A/abstract target=ref>Akana Murphy et al. 2021</a>,,4491.0,100.0,-100.0,0.0,0.68,0.01,-0.01,0.0,0.71,0.02,-0.02,0.0,-0.01,0.09,-0.09,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h55m36.35s,208.9014508,-06d08m09.90s,-6.1360833,107.518,0.602,-0.596,12.358,0.114,-0.114,9.625,0.019,-0.019,11.9053,0.000403,-0.000403,2022-03-28,2021-12,2022-03-28
K2-216 b,K2-216,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=PERSSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A..33P/abstract target=ref>Persson et al. 2018</a>,2.1748,5e-05,-5e-05,0.0,0.028,0.003,-0.007,0.0,1.75,0.17,-0.1,0.0,0.156,0.015,-0.009,0.0,8.0,1.6,-1.6,0.0,0.02517,0.00503,-0.00503,0.0,Mass,0.0,,,0.0,248.0,220.0,-48.0,0.0,1103.0,180.0,-56.0,0.0,0.0,<a refstr=PERSSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...618A..33P/abstract target=ref>Persson et al. 2018</a>,K5 V,4503.0,69.0,-69.0,0.0,0.72,0.03,-0.03,0.0,0.7,0.03,-0.03,0.0,0.0,0.07,-0.07,0.0,[Fe/H],4.57,0.09,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h45m55.26s,11.4802354,+06d20m49.31s,6.3470302,115.461,0.71,-0.701,12.403,0.103,-0.103,9.721,0.018,-0.018,12.0576,0.000207,-0.000207,2018-11-02,2018-10,2018-11-01
K2-222 b,K2-222,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,15.38857,0.00088,-0.00088,0.0,0.1206,0.0029,-0.0029,0.0,2.35,0.08,-0.07,0.0,0.21,0.007,-0.006,0.0,8.7,1.7,-1.7,0.0,0.02737,0.00535,-0.00535,0.0,Mass,0.16,,,1.0,96.0,11.0,-9.7,0.0,871.0,23.0,-23.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5942.0,119.0,-119.0,0.0,1.11,0.03,-0.03,0.0,0.99,0.07,-0.07,0.0,-0.315,0.06,-0.06,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h05m51.00s,16.4625203,+11d45m13.38s,11.7537171,101.321,0.632,-0.625,9.543,0.004,-0.004,8.105,0.017,-0.017,9.36072,0.000292,-0.000292,2023-04-17,2023-04,2023-04-17
K2-232 b,K2-232,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.2572B/abstract target=ref>Brahm et al. 2018</a>,11.168454,2.3e-05,-2.3e-05,0.0,0.10356,0.00081,-0.00077,0.0,11.209,0.247,-0.224,0.0,1.0,0.022,-0.02,0.0,126.49634,11.75971,-11.75971,0.0,0.398,0.037,-0.037,0.0,Mass,0.258,0.025,-0.025,0.0,161.93431999181843,,,,1030.0,15.0,-15.0,0.0,0.0,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.477.2572B/abstract target=ref>Brahm et al. 2018</a>,,6154.0,60.0,-60.0,0.0,1.16,0.02,-0.02,0.0,1.19,0.03,-0.03,0.0,0.1,0.04,-0.04,0.0,[Fe/H],4.38,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h55m04.03s,73.7667927,+18d39m15.56s,18.654323,130.72,0.768,-0.759,9.822,0.005,-0.005,8.434,0.017,-0.017,9.72626,0.000205,-0.000205,2018-04-04,2018-06,2018-04-05
K2-237 b,K2-237,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=IKWUT_UKWA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..209I/abstract target=ref>Ikwut-Ukwa et al. 2020</a>,2.18053539,8.6e-07,-8.5e-07,0.0,0.03558,0.00048,-0.00065,0.0,16.197,0.549,-0.504,0.0,1.445,0.049,-0.045,0.0,433.20012,34.96112,-29.24021,0.0,1.363,0.11,-0.092,0.0,Mass,0.042,0.034,-0.028,0.0,1860.0,210.0,-180.0,0.0,1828.0,48.0,-46.0,0.0,0.0,<a refstr=IKWUT_UKWA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..209I/abstract target=ref>Ikwut-Ukwa et al. 2020</a>,,6360.0,190.0,-200.0,0.0,1.26,0.03,-0.03,0.0,1.26,0.05,-0.07,0.0,0.137,0.05,-0.049,0.0,[Fe/H],4.34,0.02,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h55m04.52s,253.7688479,-28d42m38.10s,-28.7105836,314.995,7.221,-6.91,11.602,0.034,-0.034,10.217,0.023,-0.023,11.4668,0.000949,-0.000949,2022-02-15,2020-11,2022-02-15
K2-238 b,K2-238,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=SOTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.478.5356S/abstract target=ref>Soto et al. 2018</a>,3.20466,3e-05,-3e-05,0.0,0.046,0.007,-0.006,0.0,14.572,1.681,-1.569,0.0,1.3,0.15,-0.14,0.0,273.3338,41.3179,-38.1396,0.0,0.86,0.13,-0.12,0.0,Mass,0.0,,,0.0,1126.0791502383959,,,,1587.0,75.0,-76.0,0.0,0.0,<a refstr=SOTO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.478.5356S/abstract target=ref>Soto et al. 2018</a>,G2 V,5630.0,78.0,-78.0,0.0,1.59,0.16,-0.16,0.0,1.19,0.08,-0.08,0.0,0.34,0.04,-0.04,0.0,[Fe/H],4.11,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h10m49.04s,347.7043164,-07d51m27.21s,-7.8575592,537.963,,,13.973,0.126,-0.126,12.032,0.033,-0.033,13.6635,0.002247,-0.002247,2018-06-26,2018-08,2018-06-21
K2-24 b,K2-24,1,1,2,Transit,2016,K2,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...89P/abstract target=ref>Petigura et al. 2018</a>,20.88977,0.00034,-0.00035,0.0,,,,,5.4,0.2,-0.2,0.0,0.482,0.018,-0.018,0.0,19.0,2.2,-2.1,0.0,0.05978,0.00692,-0.00661,0.0,Mass,0.06,0.01,-0.01,0.0,52.64862488544013,,,,749.7325707149605,,,,1.0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...89P/abstract target=ref>Petigura et al. 2018</a>,,5625.0,60.0,-60.0,0.0,1.16,0.04,-0.04,0.0,1.07,0.06,-0.06,0.0,0.34,0.04,-0.04,0.0,[Fe/H],4.29,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m17.63s,242.5734559,-24d59m26.17s,-24.9906029,170.562,1.36,-1.338,11.275,0.019,-0.019,9.18,0.021,-0.021,10.9072,0.0003,-0.0003,2018-12-10,2018-09,2018-12-13
K2-24 c,K2-24,1,1,2,Transit,2016,K2,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...89P/abstract target=ref>Petigura et al. 2018</a>,42.3391,0.0012,-0.0012,0.0,,,,,7.5,0.3,-0.3,0.0,0.669,0.027,-0.027,0.0,15.4,1.9,-1.8,0.0,0.04845,0.00598,-0.00566,0.0,Mass,0.07,,,1.0,20.526256308516764,,,,592.430019836447,,,,1.0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...89P/abstract target=ref>Petigura et al. 2018</a>,,5625.0,60.0,-60.0,0.0,1.16,0.04,-0.04,0.0,1.07,0.06,-0.06,0.0,0.34,0.04,-0.04,0.0,[Fe/H],4.29,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m17.63s,242.5734559,-24d59m26.17s,-24.9906029,170.562,1.36,-1.338,11.275,0.019,-0.019,9.18,0.021,-0.021,10.9072,0.0003,-0.0003,2018-12-10,2018-09,2018-12-13
K2-25 b,K2-25,1,1,1,Transit,2015,K2,Published Confirmed,0,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..192S/abstract target=ref>Stefansson et al. 2020</a>,3.48456408,6e-07,-5e-07,0.0,0.0287,0.0012,-0.0012,0.0,3.44,0.12,-0.12,0.0,0.306,0.011,-0.011,0.0,24.5,5.7,-5.2,0.0,0.07709,0.01793,-0.01636,0.0,Mass,0.428,0.05,-0.049,0.0,9.91,0.95,-0.86,0.0,494.0,11.0,-11.0,0.0,0.0,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..192S/abstract target=ref>Stefansson et al. 2020</a>,M4.5 V,3207.0,58.0,-58.0,0.0,0.29,0.01,-0.01,0.0,0.26,0.01,-0.01,0.0,0.15,0.03,-0.03,0.0,[Fe/H],4.94,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h13m05.74s,63.2739346,+15d14m51.73s,15.2477027,44.9565,0.1664,-0.1653,16.21,0.2,-0.2,10.444,0.019,-0.019,14.3817,0.000951,-0.000951,2022-03-28,2020-10,2022-03-28
K2-260 b,K2-260,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=JOHNSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.481..596J/abstract target=ref>Johnson et al. 2018</a>,2.6266657,1.8e-06,-1.8e-06,0.0,0.0404,0.0013,-0.0016,0.0,17.396,0.538,-0.639,0.0,1.552,0.048,-0.057,0.0,451.3186,98.5273,-101.7056,0.0,1.42,0.31,-0.32,0.0,Mass,0.0,,,0.0,2445.934827899858,,,,1957.0,78.0,-77.0,0.0,0.0,<a refstr=JOHNSON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.481..596J/abstract target=ref>Johnson et al. 2018</a>,F6 V,6367.0,250.0,-250.0,0.0,1.69,0.03,-0.03,0.0,1.39,0.05,-0.06,0.0,-0.14,0.15,-0.15,0.0,[Fe/H],4.15,,,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h07m28.16s,76.8673317,+16d52m03.70s,16.8676948,663.834,19.395,-18.342,12.624,0.103,-0.103,11.093,0.021,-0.021,12.4667,0.000241,-0.000241,2018-08-14,2018-11,2018-08-16
K2-261 b,K2-261,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=IKWUT_UKWA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..209I/abstract target=ref>Ikwut-Ukwa et al. 2020</a>,11.633478,1.7e-05,-1.7e-05,0.0,0.1034,0.0015,-0.0016,0.0,9.528,0.392,-0.381,0.0,0.85,0.035,-0.034,0.0,59.75174,7.94571,-7.94571,0.0,0.188,0.025,-0.025,0.0,Mass,0.286,0.064,-0.069,0.0,180.0,15.0,-10.0,0.0,1046.0,21.0,-22.0,0.0,0.0,<a refstr=IKWUT_UKWA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..209I/abstract target=ref>Ikwut-Ukwa et al. 2020</a>,,5445.0,77.0,-76.0,0.0,1.64,0.06,-0.06,0.0,1.09,0.05,-0.05,0.0,0.36,0.059,-0.059,0.0,[Fe/H],4.04,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h52m07.75s,163.0323119,+00d29m35.40s,0.493167,213.283,1.975,-1.941,10.612,0.009,-0.009,8.89,0.022,-0.022,10.4594,0.000314,-0.000314,2022-02-15,2020-11,2022-02-15
K2-263 b,K2-263,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,50.818947,9.4e-05,-9.4e-05,0.0,0.2573,0.003,-0.003,0.0,2.41,0.12,-0.12,0.0,0.215,0.011,-0.011,0.0,14.9,2.1,-2.1,0.0,0.04688,0.00661,-0.00661,0.0,Mass,0.15,,,1.0,8.17,0.52,-0.52,0.0,470.0,7.0,-7.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5368.0,44.0,-44.0,0.0,0.85,0.02,-0.02,0.0,0.88,0.03,-0.03,0.0,-0.08,0.05,-0.05,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m43.71s,129.6821253,+15d40m50.17s,15.6806039,162.481,1.38,-1.357,11.568,0.046,-0.046,9.748,0.02,-0.02,11.4055,0.00068,-0.00068,2023-04-17,2023-04,2023-04-17
K2-265 b,K2-265,1,2,1,Transit,2018,K2,Published Confirmed,0,<a refstr=LAM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...620A..77L/abstract target=ref>Lam et al. 2018</a>,2.369172,8.9e-05,-8.9e-05,0.0,0.03376,0.00021,-0.00021,0.0,1.71,0.11,-0.11,0.0,0.153,0.01,-0.01,0.0,6.54,0.84,-0.84,0.0,0.02058,0.00264,-0.00264,0.0,Mass,0.084,0.079,-0.079,0.0,680.4310418144839,,,,1421.5287572559334,,,,0.0,<a refstr=LAM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...620A..77L/abstract target=ref>Lam et al. 2018</a>,G8 V,5477.0,27.0,-27.0,0.0,0.98,0.05,-0.05,0.0,0.92,0.02,-0.02,0.0,0.078,0.02,-0.02,0.0,[Fe/H],4.42,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h48m07.60s,342.0316493,-14d29m41.20s,-14.4947789,138.671,0.985,-0.97,11.187,0.015,-0.015,9.259,0.027,-0.027,10.9277,0.000552,-0.000552,2018-10-05,2018-11,2018-10-04
K2-266 e,K2-266,1,2,4,Transit,2018,K2,Published Confirmed,0,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,19.482,0.0012,-0.0012,0.0,0.1249,0.0019,-0.002,0.0,2.73,0.14,-0.11,0.0,0.244,0.012,-0.01,0.0,14.3,6.4,-5.0,0.0,0.04499,0.02014,-0.01573,0.0,Mass,0.043,0.036,-0.03,0.0,9.58,0.47,-0.44,0.0,490.0,6.0,-6.0,0.0,1.0,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>,,4285.0,49.0,-57.0,0.0,0.7,0.02,-0.02,0.0,0.69,0.03,-0.03,0.0,-0.12,0.4,-0.42,0.0,[Fe/H],4.58,0.03,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h31m44.56s,157.9356855,+00d56m14.20s,0.9372782,77.5586,0.3581,-0.3549,11.625,0.046,-0.046,8.897,0.023,-0.023,11.3527,0.000859,-0.000859,2022-10-31,2018-11,2022-10-31
K2-27 b,K2-27,1,3,1,Transit,2016,K2,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,6.771315,8.5e-05,-8.5e-05,0.0,0.06702,0.00071,-0.00071,0.0,4.48,0.23,-0.23,0.0,0.4,0.021,-0.021,0.0,30.9,4.6,-4.6,0.0,0.09722,0.01447,-0.01447,0.0,Mass,0.251,0.088,-0.088,0.0,116.0,16.0,-12.0,0.0,902.0,28.0,-28.0,0.0,0.0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,,5248.0,60.0,-60.0,0.0,0.89,0.04,-0.04,0.0,0.87,0.03,-0.02,0.0,0.13,0.04,-0.04,0.0,[Fe/H],4.48,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h26m03.64s,171.5151874,+01d13m50.25s,1.2306237,249.645,2.489,-2.441,12.689,0.16,-0.16,10.704,0.024,-0.024,12.4528,0.000306,-0.000306,2017-02-08,2017-04,2017-02-09
K2-280 b,K2-280,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=NOWAK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.4423N/abstract target=ref>Nowak et al. 2020</a>,19.89526,0.00028,-0.00028,0.0,0.1461,0.0099,-0.0097,0.0,7.5,0.44,-0.44,0.0,0.669,0.039,-0.039,0.0,37.1,5.6,-5.6,0.0,0.11673,0.01762,-0.01762,0.0,Mass,0.35,0.05,-0.04,0.0,64.13986849477101,,,,787.0,17.0,-17.0,0.0,0.0,<a refstr=NOWAK_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.497.4423N/abstract target=ref>Nowak et al. 2020</a>,,5500.0,100.0,-100.0,0.0,1.28,0.07,-0.07,0.0,1.03,0.03,-0.03,0.0,0.33,0.08,-0.08,0.0,[Fe/H],4.21,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m22.89s,291.5953596,-22d14m51.75s,-22.2477071,391.537,7.494,-7.223,12.524,0.08,-0.08,10.765,0.019,-0.019,12.3604,0.000193,-0.000193,2021-07-12,2020-10,2021-07-12
K2-285 b,K2-285,1,1,4,Transit,2018,K2,Published Confirmed,0,<a refstr=PALLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A..41P/abstract target=ref>Palle et al. 2019</a>,3.471745,4.4e-05,-4.6e-05,0.0,0.03817,0.00095,-0.00092,0.0,2.59,0.06,-0.06,0.0,0.231,0.005,-0.005,0.0,9.68,1.21,-1.37,0.0,0.03046,0.00381,-0.00431,0.0,Mass,0.0,,,0.0,234.31,19.58,-18.28,0.0,1089.0,22.0,-22.0,0.0,0.0,<a refstr=PALLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A..41P/abstract target=ref>Palle et al. 2019</a>,K2 V,4975.0,95.0,-95.0,0.0,0.79,0.02,-0.02,0.0,0.83,0.02,-0.02,0.0,0.0,0.05,-0.05,0.0,[Fe/H],4.4,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h17m32.24s,349.3843458,+01d18m00.55s,1.3001522,154.961,1.161,-1.144,12.075,0.114,-0.114,9.971,0.022,-0.022,11.804,0.000295,-0.000295,2018-12-11,2019-03,2018-12-13
K2-285 c,K2-285,1,1,4,Transit,2018,K2,Published Confirmed,0,<a refstr=PALLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A..41P/abstract target=ref>Palle et al. 2019</a>,7.138048,7.2e-05,-6.3e-05,0.0,0.0824,0.0018,-0.0018,0.0,3.53,0.08,-0.08,0.0,0.315,0.007,-0.007,0.0,15.68,2.28,-2.13,0.0,0.04933,0.00717,-0.0067,0.0,Mass,0.0,,,0.0,50.35,4.05,-3.83,0.0,741.0,14.0,-14.0,0.0,0.0,<a refstr=PALLE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A..41P/abstract target=ref>Palle et al. 2019</a>,K2 V,4975.0,95.0,-95.0,0.0,0.79,0.02,-0.02,0.0,0.83,0.02,-0.02,0.0,0.0,0.05,-0.05,0.0,[Fe/H],4.4,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h17m32.24s,349.3843458,+01d18m00.55s,1.3001522,154.961,1.161,-1.144,12.075,0.114,-0.114,9.971,0.022,-0.022,11.804,0.000295,-0.000295,2018-12-11,2019-03,2018-12-13
K2-287 b,K2-287,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=JORD_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..100J/abstract target=ref>Jord&aacute;n et al. 2019</a>,14.893291,2.5e-05,-2.5e-05,0.0,0.1206,0.0008,-0.0008,0.0,9.494,0.146,-0.146,0.0,0.847,0.013,-0.013,0.0,100.11645,8.58141,-8.58141,0.0,0.315,0.027,-0.027,0.0,Mass,0.478,0.025,-0.026,0.0,74.36455811109012,,,,804.0,8.0,-7.0,0.0,0.0,<a refstr=JORD_AACUTE_N_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..100J/abstract target=ref>Jord&aacute;n et al. 2019</a>,,5695.0,58.0,-58.0,0.0,1.07,0.01,-0.01,0.0,1.06,0.02,-0.02,0.0,0.2,0.04,-0.04,0.0,[Fe/H],4.4,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h32m17.84s,233.0743401,-22d21m30.04s,-22.3583447,158.335,1.297,-1.277,11.41,0.018,-0.018,9.188,0.021,-0.021,11.067,0.000758,-0.000758,2019-01-03,2019-03,2019-01-10
K2-29 b,K2-29,1,2,1,Transit,2016,K2,Published Confirmed,0,<a refstr=SANTERNE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...824...55S/abstract target=ref>Santerne et al. 2016</a>,3.2588321,1.9e-06,-1.9e-06,0.0,0.04217,0.00024,-0.00024,0.0,13.339,0.224,-0.224,0.0,1.19,0.02,-0.02,0.0,232.0159,12.7132,-12.7132,0.0,0.73,0.04,-0.04,0.0,Mass,0.066,0.022,-0.022,0.0,309.2584201297097,,,,1171.0,10.0,-10.0,0.0,0.0,<a refstr=SANTERNE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...824...55S/abstract target=ref>Santerne et al. 2016</a>,G7 V,5358.0,38.0,-38.0,0.0,0.86,0.01,-0.01,0.0,0.94,0.02,-0.02,0.0,0.16,0.03,-0.03,0.0,[Fe/H],4.54,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h10m40.90s,62.670422,+24d24m05.96s,24.4016558,178.475,1.32,-1.301,12.532,0.103,-0.103,10.062,0.034,-0.034,12.2008,0.000375,-0.000375,2016-03-23,2016-06,2016-03-24
K2-290 c,K2-290,1,3,2,Transit,2019,K2,Published Confirmed,0,<a refstr=HJORTH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3522H/abstract target=ref>Hjorth et al. 2019</a>,48.36685,0.00041,-0.0004,0.0,0.305,0.017,-0.017,0.0,11.276,0.56,-0.56,0.0,1.006,0.05,-0.05,0.0,246.00042,14.93801,-14.93801,0.0,0.774,0.047,-0.047,0.0,Mass,0.0,,,0.0,42.7484907999331,,,,676.0,16.0,-16.0,0.0,0.0,<a refstr=HJORTH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3522H/abstract target=ref>Hjorth et al. 2019</a>,,6302.0,120.0,-120.0,0.0,1.51,0.07,-0.07,0.0,1.19,0.07,-0.08,0.0,-0.06,0.1,-0.1,0.0,[Fe/H],4.23,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h39m25.89s,234.8578846,-20d11m56.03s,-20.1988975,272.909,3.824,-3.721,11.114,0.013,-0.013,9.42,0.019,-0.019,10.8204,0.000394,-0.000394,2019-01-22,2019-04,2019-01-24
